,Utility,Accuracy,Prediction Error
random,0.00926497838171711,0.9264978381717109,1.9814700432365662
naive,0.0012353304508956147,0.12353304508956146,1.997529339098209
mfr,0.024088943792464484,2.4088943792464486,1.9518221124150714
recommender,0.020823204110848516,3.211859172328598,1.0193448018774176
recommender one-hot,0.03211859172328598,3.211859172328598,1.9357628165534284
popularity,0.012435517880343337,1.2353304508956144,0.9878646953279978
popularity one-hot,0.019147621988882025,1.9147621988882024,1.9617047560222363
tcn,0.015704854957305225,4.632489190858554,0.9845710679181241
tcn one-hot,0.04632489190858555,4.632489190858554,1.9073502161828293
des,0.012480440601194154,1.4206300185299567,0.9879147004323656
des on-hot,0.019765287214329835,1.9765287214329834,1.9604694255713406
Parrot 50,0.5250154416306362,52.50154416306362,0.9499691167387279
